competency,proficiency_level_1,behavioral_illustrations_1,proficiency_level_2,behavioral_illustrations_2,proficiency_level_3,behavioral_illustrations_3,proficiency_level_4,behavioral_illustrations_4,proficiency_level_5,behavioral_illustrations_5
Human Capital Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Makes personnel decisions based upon promotion criteria and position requirements
•	Utilizes peer recognition process to recognize employees
•	Meets with employees to set performance goals
•	Hosts employee appreciation dinner for staff","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Recognizes and addresses deficiencies of human resources processes or tools
•	Provides positive feedback to high-performing staff and rewards exceptional performance
•	Considers impact of personnel decisions on current staff","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Reviews and updates position descriptions and performance plans
•	Explains restructuring plan to staff and addresses concerns
•	Recognizes employee contributions by rewarding employees publicly","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops rewards system to recognize the impact of employee contributions to the organization
•	Identifies creative strategies to recruit employees with the required skills and qualifications, despite having limited resources
•	Identifies mission critical occupations and associated competencies needed to perform organizational functions",,
Influencing and Negotiating,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Inspires commitment to achieve outcomes and build coalitions,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Collaborates with key stakeholders and creates a network of support for an initiative,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Gains cooperation from others,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Establishes new relationships with others in the work environment,,
Innovative Thinking,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Suggests changes to own work procedures within existing guidelines to improve efficiency or effectiveness
•	Participates in discussions about improvements to team business processes","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Revises own work methods to improve personal effectiveness and efficiency
•	Suggests improvements to a business process within the team","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Develops a new method for disseminating information to staff
•	Recommends changes to the delivery of a product or service that increases efficiency or effectiveness for office operations and services ","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Reviews and proposes modifications to processes and identifies creative options to meet new and evolving requirements
•	Develops alternatives to solving novel problems that impact the organization ",,
Integrity and Honesty,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Establishes open and honest communication with employees
•	Addresses concerns with employee behavior in a confidential and respectful manner","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Provides staff with accurate information about the vision of the agency and outlines changes in an upfront manner
•	Remains fair and objective when determining skill set needed for projects to select effective team members","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Communicates honestly with employees regarding potential changes affecting the organization to ensure staff are treated fairly
•	Investigates issues and takes corrective action, as appropriate","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Instills a climate of trust by admitting own mistakes and taking responsibility for one's actions
•	Discusses potential ethical problems and wrong- doing with employees and responds appropriately","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Promotes a climate of openness and honesty and does not penalize responsible dissent
•	Does not acquiesce to inappropriate personal requests for favors, political pressure, or promise of gain
•	Displays fortitude to support ethical actions that may negatively impact self or stakeholders"
Interpersonal Skills,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Interacts with co-workers in a tactful manner
•	Responds to employee inquiries","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Shows employees empathy and respect
•	Welcomes new employees into organization by explaining mission and agency goals
•	Develops and maintains effective working relationships","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Makes self accessible to employees at all levels
•	Corrects employee mistakes in a courteous manner
•	Demonstrates courtesy, empathy and respect","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Treats individuals from all levels of the agency with courtesy and sensitivity
•	Meets with staff and listens to their perspective on organizational policies and procedures
•	Displays professionalism, tact, and empathy when working with groups ",,
Learning,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Attends mandatory training to maintain technical knowledge
•	Recognizes opportunities for self-development
•	Makes specific plans to address deficit areas noted during performance appraisals
•	Uses basic techniques and concepts to acquire new knowledge and skills.  ","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Attends professional conferences to maintain technical knowledge
•	Solicits periodic feedback to continually improve quality of own work
•	Visits other work site to gain understanding of staff functions and daily tasks
•	Develops knowledge and skills through on-the-job experience","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Completes required training and applies key learnings
•	Recognizes areas needing improvement and takes training to increase skills
•	Attends training on the use of new tools and shares knowledge with co-workers
•	Seeks out and actively participates in learning and development activities","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Completes leadership development program including training, coaching, and mentoring opportunities and applies key learnings
•	Arranges and completes rotational assignment meeting own developmental goals and aligning with organizational strategies
•	Understands how learning and development activities impact organizational objectives
•	Assists and coaches others in identifying learning and development opportunities ?",,
Leveraging Diversity,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Attends diversity programs to increase staff awareness
•	Meets with staff to obtain input on diversity issues within workgroup","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Adheres to Equal Employment Opportunity (EEO) policies, goals, objectives, and philosophies of valuing diversity in performing everyday duties and responsibilities
•	Builds teams leveraging diverse capabilities of staff","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Recognizes and utilizes skills of staff with diverse backgrounds to benefit the organization, clients, and coworkers
•	Addresses and corrects the use of inappropriate language or actions which deride diversity","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Builds a diverse staff with a variety of skills who function effectively to accomplish the mission of the organization
•	Develops a creative initiative focused on recognizing the various dimensions of diversity to encourage inclusiveness in the workplace ",,
Mission and Culture,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Understands the organizational vision, mission and core values and applies these to daily work
•	Practices appropriate IT security, safety, and property management
•	Understands who the customer is and their expectations","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Works successfully in team environments
•	Represents the organization in varying capacities and situations
•	Identifies opportunities for improvement
•	Understands organizational dynamics ","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Mentors new employees or junior staff
•	Collaborates with customers to define products and services
•	Participates in or leads analysis across the organization","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops action plans for improvement
•	Supports and encourages employee development and completion of related learning events
•	Supports overall organizational management – employee appraisals, competency development and planning, conflict resolution, employee counseling, and workforce planning ",,
Oral Communications,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Communicates agency goals and initiatives to staff in a clear and concise manner
•	Communicates information regarding organizational changes to staff
•	Updates supervisors on project status
•	Actively listens to staff ideas and concerns regarding work-related issues","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Communicates effectively with staff by conducting regular meetings to discuss initiatives and current events
•	Explains and clarifies policy to affected parties
•	Provides status updates to management team during quarterly division meeting
•	Presents complex information to stakeholders verbally","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives
•	Conveys information clearly and concisely to ensure staff or team members remain focused on agenda items
•	Explains benefits to stakeholders to gain acceptance of programmatic change
•	Presents information, analyses, and recommendations to officials and stakeholders
•	Presents, promotes and clarifies ideas and issues to others","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Conducts presentations and briefings for high-level agency officials
•	Presents, explains, and defends agency positions and proposals to staff and stakeholders
•	Persuades others by making clear and convincing oral presentations","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Presents complex information articulately when meeting with key executives or public officials regarding a high-visibility issue
•	Testifies before Congress on a catastrophe's or significant issue's impact on the agency's responsibilities and requirements
•	Communicates sensitive information of broad organizational impact on topics without precedence
•	Adjusts oral communication techniques based on situation and audience to articulate a message "
Problem Solving,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Proposes solution to improve customer satisfaction
•	Determines cause of workforce problem and recommends corrective action","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Addresses routine organizational problems by leading a team to brainstorm solutions
•	Establishes guidelines to clarify complex and/or controversial processes","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Reconciles conflicting and/or incomplete information to develop solutions
•	Applies appropriate methodology to discover or identify policy issues and resource concerns","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Synthesizes information from internal and external sources to develop an action plan addressing program issues
•	Addresses systemic barriers inhibiting the achievement of results by forming teams to conduct focus groups and develop solutions","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Improves organizational efficiency by developing, planning, and implementing a multi-tier solution to complex or unprecedented problems
•	Develops and implements a remediation plan restoring stakeholder confidence in a critical agency program  "
Public Service Motivation,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Responds promptly and accurately to public inquiries about agency policies
•	Suggests gaining feedback from public regarding new policy  ","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Reviews unit's policies and procedures on a regular basis to ensure they are consistent with public needs
•	Determines community needs by surveying citizens","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Approves funding documentation in accordance with procedures to ensure public resources are utilized appropriately
•	Improves processes used to monitor contractors and vendors for supplies, services, and/or equipment to ensure government funds are expended appropriately
•	Encourages a commitment to public service","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Partners with community leaders to develop neighborhood action plans
•	Cultivates relationships with community stakeholders to validate usefulness of proposed products and services
•	Identifies improved ways to manage public resources","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Designs and develops programs to address critical community requirements
•	Elicits employees' commitment to serve the public good in responding to a disaster
•	Ensures that projects and programs meet public needs and interests  "
Resilience,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Reduces project deliverables following funding cut
•	Continues presentation to customer despite technical difficulties with audio-visual system  ","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Meets with employees resistant to organizational change to address concerns
•	Maintains composure and direction in high-pressure situations
•	Accepts negative feedback in a constructive manner and adjusts behavior accordingly","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Perseveres on project despite changing objectives, deliverables and deadlines
•	Develops strategies using existing resources for achieving objectives following budget cuts","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Responds to setbacks by developing alternative approaches to determine the best course of action
•	Maintains unit's effectiveness, quality and morale during organizational change
•	Cultivates internal and external stakeholders to develop strategies for obtaining funding from alternate sources following budget cuts ",,
Team Building,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Works with team to implement operating procedures within agency
•	Suggests utilizing team building exercises to improve office dynamics","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Encourages staff to share skills and abilities within work group to facilitate completion of challenging tasks
•	Forms teams to identify and address agency concerns
•	Informs team members of issues requiring resolution and considers input","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Includes entire team in decision-making process when developing mission and goals for the division
•	Creates senior-level teams to design and implement requirements for new systems and procedures
•	Leads team from various organizational units to create new systems or processes","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Promotes cohesiveness of a dysfunctional team by defining roles and responsibilities of each team member and establishing overall objectives ?Leads teams to implement Congressional programs and interact with legislative representatives
•	Motivates agency-wide team by assigning work based on team member skill level and area of interest","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Leads a team to address controversial agency-wide legislative and regulatory policy issues
•	Inspires interagency team to accomplish long-term strategic goals "
Written Communications,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Writes basic communications (e.g., an email requesting straightforward information), proofreading before sending to others
•	Uses appropriate grammar, punctuation, and spelling
•	With guidance, applies the Department’s style and format guidelines to written products","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Drafts concise, straightforward summaries of information (e.g., portions of plans/reports)
•	Prepares routine written communications that are accurate, clear, concise and well-organized
•	Answers routine or basic questions to internal and external customers appropriately (e.g., tone, detail) and when responding in writing","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Prepares reports, summaries, or makes recommendations independently
•	Reviews and edits materials prepared by others for grammar, punctuation, spelling and conformance to style and format guidelines","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Writes complex documents, using clear terminology and a concise format as appropriate for decision makers
•	Tailors written communications to address the most critical issues in a compelling and diplomatic manner
•	Writes clear, concise issue papers or policy documents on complex topics, such as establishing Department-wide guidance or guidelines",,
