job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0501 Financial Administration and Program Support,Mid,Finance,Financial Management Analysis,Primary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves difficult challenges through financial analysis to determine the proper course of action and provides advice to decision-makers,310 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 311 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 312 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,Financial Management Analysis,Primary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex financial management solutions to make controversial decisions, and negotiate with key stakeholders",472 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 473 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 474 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses basic information from financial management systems,100 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 101 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 102 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Inputs and extracts data and creates recurring reports to maintain financial integrity,103 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 104 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 105 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Identifies system problems, extracts ad hoc reports, recommends enhancements, and initiates system change requests",313 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 314 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 315 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Identifies functional processes, requirements or interfaces ? Analyzes and resolves problems and authorizes enhancements to support financial management functions",475 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 476 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 477 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Reporting,Primary,"Prepare, review and reconcile financial statements and financial reports to meet reporting requirements and to support management decisions",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Obtains data from financial management systems to acquire a basic knowledge of the financial statements and-or reports, while improving operations by increasing productivity such as by advancing the skill sets and knowledge of finance personnel",106 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 107 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 108 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Reporting,Primary,"Prepare, review and reconcile financial statements and financial reports to meet reporting requirements and to support management decisions",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Prepares and-or queries financial statements and-or reports to meet the requirements as specified in the Treasury Financial Manual along with other Departmental Agency Regulations,109 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 110 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 111 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Financial Reporting,Primary,"Prepare, review and reconcile financial statements and financial reports to meet reporting requirements and to support management decisions",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Reviews and reconciles the financial statements and-or reports to ensure accuracy and completeness,316 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 317 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 318 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Financial Reporting,Primary,"Prepare, review and reconcile financial statements and financial reports to meet reporting requirements and to support management decisions",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Summarizes information related to the financial statements and-or reports, and recommends improvement options",319 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 320 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 321 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,Financial Reporting,Primary,"Prepare, review and reconcile financial statements and financial reports to meet reporting requirements and to support management decisions",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Briefs senior leadership on financial business operations based on financial statements and-or reports,478 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 479 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 480 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Stewardship,Primary,"Manage, allocate and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficIently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Performs and documents transactions and monitors records in compliance with laws, regulations, and policies to meet organizational goals and objectives",112 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 113 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 114 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Stewardship,Primary,"Manage, allocate and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficIently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Applies knowledge of policies and procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives",115 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 116 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 117 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Finance,Financial Stewardship,Primary,"Manage, allocate and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficIently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Allocates funds within approved guidelines ? Uses appropriate finance and accounting procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives",118 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 119 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 120 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Finance,Financial Stewardship,Primary,"Manage, allocate and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficIently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Interprets, analyzes and advises others on financial policies, regulations and procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives",322 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 323 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 324 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Finance,Financial Stewardship,Primary,"Manage, allocate and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficIently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Manages and monitors all aspects of the financial process on behalf of a Department to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives ? Supports the achievement of the agency’s programs with reliable, relevant, and timely financial information and analysis, and effective and efficient internal controls",481 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 482 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 483 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Accounting Analysis,Primary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy,571 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 572 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 573 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Accounting Analysis,Primary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review accounting data in line with all accounting principles,574 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 575 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 576 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Accounting,Accounting Analysis,Primary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates accounting information using a variety of analytical methods to provide recommendations,775 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 776 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 777 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Accounting,Accounting Analysis,Primary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves difficult challenges through accounting analysis to determine the proper course of action and provides advice to decision-makers,778 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 779 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 780 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Accounting,Accounting Analysis,Primary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex accounting solutions to make controversial decisions, and negotiate with key stakeholders",970 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 971 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 972 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,"Accounting Concepts, Policies and Principles",Primary,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses typical accounting and financial procedures and practices that apply to most situations,577 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 578 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 579 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,"Accounting Concepts, Policies and Principles",Primary,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies knowledge of policies and procedures to ensure adherence to accounting and financial guidelines,580 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 581 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 582 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Accounting,"Accounting Concepts, Policies and Principles",Primary,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Examines a variety of accounts, documents, records, related reports and processes to determine performance in accordance with appropriate procedures and regulations",781 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 782 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 783 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Accounting,"Accounting Concepts, Policies and Principles",Primary,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Develops accounting and financial guidelines that conform to fiscal requirements, and makes recommendations for improvement or implementation of new policies",784 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 785 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 786 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Accounting,"Accounting Concepts, Policies and Principles",Primary,"Apply federal accounting standards, fiscal law, policies, regulations, principles, standards, internal controls and procedures to financial management activities",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Interprets and advises others on accounting and financial policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts",973 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 974 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 975 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Applies knowledge of financial, accounting and economic analysis to assist with the decision making process",637 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 638 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 639 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Interprets the data of financial, accounting and economic analysis to prepare for decision making",640 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 641 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 642 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Analyzes results of the financial, accounting and economic analysis to determine possible outcomes",844 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 845 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 846 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Develops and evaluates alternatives and interventions that are results of the analysis to provide valued recommendations,847 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 848 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 849 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Finance,Decision Support,Primary,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Formulates solutions based on the recommendations to improve mission effectiveness,1015 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1016 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1017 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses basic information from financial management systems,661 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 662 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 663 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Inputs and extracts data and creates recurring reports to maintain financial integrity,664 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 665 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 666 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Identifies system problems, extracts ad hoc reports, recommends enhancements, and initiates system change requests",874 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 875 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 876 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Finance,Financial Management Systems,Primary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Identifies functional processes, requirements or interfaces ? Analyzes and resolves problems and authorizes enhancements to support financial management functions",1036 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1037 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1038 Third Course Name %%% Third Course Institution ||| www.cfo.gov
