ID,JOB SERIES:,GS LEVEL:,TYPE:,Functional Competency Designation,COMPETENCY:,DESCRIPTION,APPLICABLE PROFICIENCY RATINGS,Column9,Column10,Column11
11,511,ENTRY (7-9),Primary,Job Specific Competencies,Financial Stewardship,"Manage, allocate, and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficiently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation.",1,2,3,
12,511,MID (10-13),Primary,Job Specific Competencies,Financial Stewardship,"Manage, allocate, and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficiently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation.",4,,,
13,560,MID (10-13),Alternate,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",3,4,,
14,560,SENIOR (14-15),Alternate,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",5,,,
15,560,ENTRY (7-9),Primary,Job Specific Competencies,Financial Stewardship,"Manage, allocate, and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficiently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation.",1,2,3,
16,560,MID (10-13),Primary,Job Specific Competencies,Financial Stewardship,"Manage, allocate, and monitor financial resources in compliance with laws, regulations, and policies, with sufficient transparency and appropriate internal controls to ensure these resources are efficiently applied to meet organizational goals and objectives, while considering the Federal Government's fiduciary duty to the Nation.",4,,,
17,501,SENIOR (14-15),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",5,,,
18,501,ENTRY (7-9),Personal,General Career Competencies,Integrity and Honesty,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",1,2,3,
19,510,SENIOR (14-15),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",5,,,
20,510,ENTRY (7-9),Personal,General Career Competencies,Integrity and Honesty,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",1,2,3,
21,511,SENIOR (14-15),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",5,,,
22,511,ENTRY (7-9),Personal,General Career Competencies,Integrity and Honesty,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",1,2,3,
23,560,SENIOR (14-15),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",5,,,
24,560,ENTRY (7-9),Personal,General Career Competencies,Integrity and Honesty,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",1,2,3,
25,501,ENTRY (7-9),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",1,2,,
26,501,MID (10-13),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",3,,,
27,510,ENTRY (7-9),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",1,2,,
28,510,MID (10-13),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",3,,,
29,511,ENTRY (7-9),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",1,2,,
30,511,MID (10-13),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",3,,,
31,560,ENTRY (7-9),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",1,2,,
32,560,MID (10-13),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",3,,,
33,501,SENIOR (14-15),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",4,,,
34,510,SENIOR (14-15),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",4,,,
35,511,SENIOR (14-15),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",4,,,
36,560,SENIOR (14-15),Secondary,Job Specific Competencies,"Data Analytics, Management, and Visualization","Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",4,,,
37,501,ENTRY (7-9),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",1,2,,
38,501,MID (10-13),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",3,4,,
39,510,ENTRY (7-9),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",1,2,,
40,510,MID (10-13),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",3,4,,
41,511,ENTRY (7-9),Primary,Job Specific Competencies,Decision Support - Audit Execution,Conducts audits in accordance with Generally Accepted Government Auditing Standards (GAGAS) or Generally Accepted Auditing Standards (GAAS) to provide value-added recommendations that enable better utilization of resources and improvement of mission effectiveness.,1,2,,
42,511,MID (10-13),Primary,Job Specific Competencies,Decision Support - Audit Execution,Conducts audits in accordance with Generally Accepted Government Auditing Standards (GAGAS) or Generally Accepted Auditing Standards (GAAS) to provide value-added recommendations that enable better utilization of resources and improvement of mission effectiveness.,3,4,,
43,560,ENTRY (7-9),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",1,2,,
44,560,MID (10-13),Primary,Job Specific Competencies,Decision Support,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders",3,4,,
45,501,MID (10-13),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",1,2,3,
46,510,ENTRY (7-9),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",1,2,,
47,511,MID (10-13),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",1,2,3,
48,560,MID (10-13),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",1,2,3,
49,501,ENTRY (7-9),Personal,General Career Competencies,Learning,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses formal and informal training, feedback, or other opportunities for self-learning and development.",1,2,3,
50,510,ENTRY (7-9),Personal,General Career Competencies,Learning,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses formal and informal training, feedback, or other opportunities for self-learning and development.",1,2,3,
51,511,ENTRY (7-9),Personal,General Career Competencies,Learning,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses formal and informal training, feedback, or other opportunities for self-learning and development.",1,2,3,
52,560,ENTRY (7-9),Personal,General Career Competencies,Learning,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses formal and informal training, feedback, or other opportunities for self-learning and development.",1,2,3,
53,501,ENTRY (7-9),Personal,General Career Competencies,Interpersonal Skills,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",1,2,3,
54,501,ENTRY (7-9),Personal,General Career Competencies,Oral Communications,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.",1,,,
55,510,ENTRY (7-9),Personal,General Career Competencies,Interpersonal Skills,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",1,2,3,
56,510,ENTRY (7-9),Personal,General Career Competencies,Oral Communications,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.",1,,,
57,511,ENTRY (7-9),Personal,General Career Competencies,Interpersonal Skills,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",1,2,3,
58,511,ENTRY (7-9),Personal,General Career Competencies,Oral Communications,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.",1,,,
59,560,ENTRY (7-9),Personal,General Career Competencies,Interpersonal Skills,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",1,2,3,
60,560,ENTRY (7-9),Personal,General Career Competencies,Oral Communications,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.",1,,,
61,501,ENTRY (7-9),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",1,2,,
62,501,MID (10-13),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",3,,,
63,501,MID (10-13),Secondary,Job Specific Competencies,Risk Management,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including identification of opportunities and assessment of failures and their consequences.",1,2,3,
64,510,ENTRY (7-9),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",1,2,,
65,510,MID (10-13),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",3,,,
66,510,MID (10-13),Secondary,Job Specific Competencies,Risk Management,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including identification of opportunities and assessment of failures and their consequences.",1,2,3,
67,511,ENTRY (7-9),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",1,2,,
68,511,MID (10-13),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",3,,,
69,511,ENTRY (7-9),Secondary,Job Specific Competencies,Risk Management,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including identification of opportunities and assessment of failures and their consequences.",1,2,,
70,511,MID (10-13),Secondary,Job Specific Competencies,Risk Management,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including identification of opportunities and assessment of failures and their consequences.",3,,,
71,560,ENTRY (7-9),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",1,2,,
72,560,MID (10-13),Projects,General Career Competencies,Business Process Improvement,"Knowledge of methodologies relevant to understanding, analyzing, and optimizing existing business processes; documents and understands current business processes, identifies issues, suggests process improvements, participates in implementing improvements, or monitors to ensure that improvements work as designed.",3,,,
73,560,MID (10-13),Secondary,Job Specific Competencies,Risk Management,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including identification of opportunities and assessment of failures and their consequences.",1,2,3,
74,501,ENTRY (7-9),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",1,2,3,
75,501,ENTRY (7-9),Primary,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",1,2,,
76,501,ENTRY (7-9),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",1,2,3,
77,501,SENIOR (14-15),Projects,General Career Competencies,Organizational Awareness,"Knows the organization’s mission and functions, and how its social, political, and technological systems work and operates effectively within them; this includes the programs, policies, procedures, rules, and regulations of the organization",2,3,,
78,510,ENTRY (7-9),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",1,2,3,
79,510,ENTRY (7-9),Alternate,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",1,2,,
80,510,ENTRY (7-9),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",1,2,3,
81,510,SENIOR (14-15),Projects,General Career Competencies,Organizational Awareness,"Knows the organization’s mission and functions, and how its social, political, and technological systems work and operates effectively within them; this includes the programs, policies, procedures, rules, and regulations of the organization",2,3,,
82,511,ENTRY (7-9),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",1,2,3,
83,511,ENTRY (7-9),Alternate,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",1,2,,
84,511,ENTRY (7-9),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",1,2,3,
85,511,SENIOR (14-15),Projects,General Career Competencies,Organizational Awareness,"Knows the organization’s mission and functions, and how its social, political, and technological systems work and operates effectively within them; this includes the programs, policies, procedures, rules, and regulations of the organization",2,3,,
86,560,ENTRY (7-9),Personal,General Career Competencies,Accountability,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules.",1,2,3,
87,560,ENTRY (7-9),Alternate,Job Specific Competencies,"Financial Concepts, Policies and Principles","Apply fiscal law, policies, regulations principles, standards, and procedures to financial management activities",1,2,,
88,560,ENTRY (7-9),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",1,2,3,
89,560,SENIOR (14-15),Projects,General Career Competencies,Organizational Awareness,"Knows the organization’s mission and functions, and how its social, political, and technological systems work and operates effectively within them; this includes the programs, policies, procedures, rules, and regulations of the organization",2,3,,
90,501,ENTRY (7-9),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",1,2,,
91,501,MID (10-13),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",3,,,
92,510,ENTRY (7-9),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",1,2,,
93,510,MID (10-13),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",3,,,
94,511,ENTRY (7-9),Secondary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",1,2,,
95,511,MID (10-13),Secondary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",3,,,
96,560,ENTRY (7-9),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",1,2,,
97,560,MID (10-13),Primary,Job Specific Competencies,Financial Management Systems,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",3,,,
98,501,MID (10-13),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",4,,,
99,501,SENIOR (14-15),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",5,,,
100,510,MID (10-13),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",4,,,
101,510,SENIOR (14-15),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",5,,,
102,511,MID (10-13),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",4,,,
103,511,SENIOR (14-15),Secondary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",5,,,
104,560,MID (10-13),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",4,,,
105,560,SENIOR (14-15),Primary,Job Specific Competencies,Financial Management Analysis,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations",5,,,
106,510,MID (10-13),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",3,,,
107,501,SENIOR (14-15),Secondary,Job Specific Competencies,Contract Management,"Knowledge of the tools and techniques used to propose, plan, initiate, and manage contracts and other Federal funding instruments and the associated deliverables, deadlines, and contract terms and conditions.",1,2,3,
108,510,SENIOR (14-15),Secondary,Job Specific Competencies,Contract Management,"Knowledge of the tools and techniques used to propose, plan, initiate, and manage contracts and other Federal funding instruments and the associated deliverables, deadlines, and contract terms and conditions.",1,2,3,
109,560,MID (10-13),Secondary,Job Specific Competencies,Contract Management,"Knowledge of the tools and techniques used to propose, plan, initiate, and manage contracts and other Federal funding instruments and the associated deliverables, deadlines, and contract terms and conditions.",1,2,,
110,501,SENIOR (14-15),Leading,General Career Competencies,Human Capital Management,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs; ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems; manages a multi-sector workforce and a variety of work situations",3,4,,
111,510,SENIOR (14-15),Leading,General Career Competencies,Human Capital Management,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs; ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems; manages a multi-sector workforce and a variety of work situations",3,4,,
112,511,SENIOR (14-15),Leading,General Career Competencies,Human Capital Management,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs; ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems; manages a multi-sector workforce and a variety of work situations",3,4,,
113,560,SENIOR (14-15),Leading,General Career Competencies,Human Capital Management,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs; ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems; manages a multi-sector workforce and a variety of work situations",3,4,,
114,501,SENIOR (14-15),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",4,,,
115,510,SENIOR (14-15),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",4,,,
116,511,SENIOR (14-15),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",4,,,
117,560,SENIOR (14-15),Personal,General Career Competencies,Technology Proficiency,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.",4,,,
118,501,SENIOR (14-15),Alternate,Job Specific Competencies,Fundamentals and Operations of Budget,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",2,,,
119,510,SENIOR (14-15),Alternate,Job Specific Competencies,Fundamentals and Operations of Budget,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",2,,,
120,511,SENIOR (14-15),Alternate,Job Specific Competencies,Fundamentals and Operations of Budget,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems",2,,,
